,repository_name,language
0,abracad,Clojure
1,ai_barcode,
2,alohomora-fork,
3,amazon-ebs-autoscale,Shell
4,Amplitude-Android,Java
5,Amplitude-Flutter,Dart
6,Amplitude-Flutter-New,
7,Amplitude-iOS,Objective-C
8,Amplitude-JavaScript,JavaScript
9,androidx,
10,android_package_manager,Kotlin
11,angular-google-maps,JavaScript
12,apollo-federation-subgraph-compatibility,
13,apollo-ios,Swift
14,automerge-action,JavaScript
15,avro,Java
16,bcrypt,C
17,bigquery-data-lineage,Java
18,bin,Shell
19,bluepill,Objective-C
20,BonMot,Swift
21,bors-ng,Elixir
22,box2d.dart,Dart
23,bugsnag-react-native,Java
24,bytebank-flutter,Dart
25,cats,Clojure
26,clj-bigpanda,Clojure
27,clj-depend,
28,clj-github,Clojure
29,clj-github-app,Clojure
30,clj-github-mock,Clojure
31,clj-kubernetes-api,Clojure
32,clj-owasp,
33,cljnvim,Nix
34,clojupyter,Clojure
35,clojure-boost,
36,clojure-koans,Clojure
37,clojure-style-guide,
38,common-spreadsheet,
39,conda-recipes,Shell
40,create-react-app,JavaScript
41,CSStickyHeaderFlowLayout,
42,Cuckoo,Swift
43,cyavro,Python
44,data.xml,Clojure
45,delayed_job_active_record,Ruby
46,desafio-cocoaheads,
47,detox,JavaScript
48,diversidados-curso-ds,Jupyter Notebook
49,docopt.clj,Clojure
50,edn_format,Python
51,emidje,Emacs Lisp
52,facturama-clojure-sdk,Clojure
53,fastai,Jupyter Notebook
54,fast_barcode_scanner,
55,fat-aar,Groovy
56,finagle-clojure,Clojure
57,finagle-kafka,Scala
58,firebase-ios-sdk,
59,fklearn,Jupyter Notebook
60,flare-flutter,
61,flutter,Dart
62,flutterfire,Dart
63,flutter_engine,
64,flutter_file_picker,Java
65,foreman,Ruby
66,fork-prometheus-elasticache-sd,Go
67,Freddy,Swift
68,games,JavaScript
69,gatsby,JavaScript
70,graffiti-monkey,Python
71,hack-her-way,
72,hadoop,Java
73,heroku-log-s3,Ruby
74,hiring-without-whiteboards,
75,httpie.action,HCL
76,http_interceptor,
77,i18next,Dart
78,ibis,Python
79,ios-charts,Swift
80,ivy-s3-resolver,Java
81,k8s-api,Clojure
82,kube2iam,Go
83,lacinia,Clojure
84,lein-jupyter,JavaScript
85,logica-js,
86,martian,
87,matcher-combinators,Clojure
88,memcached_exporter,
89,midje-nrepl,Clojure
90,mkdocs-git-revision-date-localized-plugin,Python
91,mmlspark,Scala
92,mobile-book-club,Ruby
93,mobile-pairing-exercises,Swift
94,mockfn,Clojure
95,morse,JavaScript
96,new-grad-template,Clojure
97,nixpkgs,Nix
98,node-modules-boilerplate,JavaScript
99,nodely,Clojure
100,nuinvest-ios-charts,Swift
101,nuinvest-ios-snapshot-test-case,Objective-C
102,nuinvest-nimble,Swift
103,nuinvest-nimble-snapshots,Swift
104,nuinvest-quick,Swift
105,nuvigator,Dart
106,opentelemetry-dart,Dart
107,ordnungsamt,Clojure
108,our-metaflow,
109,pathom,Clojure
110,pedestal-swagger,Clojure
111,pipeline,
112,plugins,Dart
113,polygon-edge,
114,prevayler-clj-aws,Clojure
115,prismatic-graphql,Clojure
116,pypicloud-docker,Shell
117,qr_code_scanner,
118,react-intl-universal,JavaScript
119,react-native-calendars,JavaScript
120,react-native-camera,
121,react-native-fullwidth-image,JavaScript
122,react-native-gesture-recognizers,JavaScript
123,react-native-linear-gradient,Java
124,react-native-manifest,Java
125,react-native-masked-text,JavaScript
126,react-native-popover-tooltip,JavaScript
127,react-native-shimmer-placeholder,JavaScript
128,react-native-svg-uri,JavaScript
129,react-reveal,JavaScript
130,ReSwift,Swift
131,robocode-clojure,Clojure
132,RxApollo,Swift
133,RxDataSources,Swift
134,s3-wagon-private,
135,sbt-databricks,Scala
136,sbt-docker-recomplile,
137,sbt-s3-resolver,Scala
138,selvage,Clojure
139,sentry-javascript,
140,setup-clojure,
141,Sourcery,Swift
142,spark-avro,Scala
143,spark-jobserver,Scala
144,spark-testing-base,Scala
145,spec-spi-code,Java
146,spec-tools,Clojure
147,st-click-detector,
148,state-flow,Clojure
149,stateful-check,
150,stem-spec-coerce,
151,stoken,
152,SwiftCheck,Swift
153,tekton-watcher,Clojure
154,tektoncd-experimental,
155,toml,Python
156,transifex-interface-ruby,Ruby
157,umschreiben-clj,Clojure
158,vessel,Clojure
159,workspaces,Clojure
